server_id,server_name,hostname,ip,virt_type,sgid,status,locked,locked_reason,country,state,city,os_distro,virt_version,virt_patch,lic_expires,sys_load,num_vps,vps_limit,ram_total_gb,ram_sold_gb,ram_free_panel_gb,ram_overcommit_gb,ram_sold_pct,disk_total_gb,disk_sold_gb,disk_free_gb,disk_used_gb,disk_used_pct,vcores_sold,cpu_units_alloc,bw_alloc_mb,uptime,live_cpu_model,live_cpu_mfg,live_cpu_limit_mhz,live_cpu_used_mhz,live_cpu_pct,live_ram_total_gb,live_ram_used_gb,live_ram_free_gb,live_ram_pct,live_swap_total_gb,live_swap_used_gb,live_swap_free_gb,io_user_pct,io_system_pct,io_iowait_pct,io_idle_pct,io_steal_pct,live_bw_used_gb,live_bw_in_used_gb,live_bw_out_used_gb,live_bw_limit_gb,storage_mount,storage_type,storage_format,storage_total_gb,storage_used_gb,storage_free_gb,storage_used_pct,cpu_physical_cores,hw_cpu_model,hw_cpu_vendor,hw_cpu_logical,hw_cpu_cores_socket,hw_cpu_threads_core,hw_cpu_sockets,hw_cpu_mhz,hw_cpu_max_mhz,hw_virt_support,hw_l1d_cache,hw_l2_cache,hw_l3_cache,hw_numa_nodes,hw_physical_disks,perf_storage_total_gb,perf_storage_used_gb,perf_storage_free_gb,perf_storage_pct,ajax_cpu_pct,ajax_ram_used_gb,ajax_ram_free_gb,ajax_ram_pct,panel_timezone,panel_interface,panel_license,panel_num_vs,panel_overcommit,panel_vcores_cfg,panel_vpslimit,recorded_at_shamsi
10,HI-KVM07,hi-kvm07.mobinhost.net,45.129.38.184,kvm,2,1,1,Locked By Admin,,,,AlmaLinux release 9.6 (Sage Margay),3.2.8,4,31/12/2026 GMT,16.95,40,0,125.34,261.0,7.12,507.81,208.2,2278.0,1988.0,1816.0,462.0,20.3,119,80,15316," 19:24:32 up 83 days,  8:04,  0 users,  load average: 6.34, 7.09, 7.16",Intel(R) Xeon(R) CPU E5-2670 v2 @ 2.50GHz,intel,2893.0,733.0,25.0,125.34,115.55,9.79,92.19,256.0,88.11,167.89,18.5,7.2,0.44,73.86,0.0,6806.99,3412.95,3394.04,0.0,/hikvm07zfs,file,raw,2278.34,462.45,1815.89,20.3,40,Intel(R) Xeon(R) CPU E5-2670 v2 @ 2.50GHz,GenuineIntel,40,10,2,2,0.0,3300.0,VT-x,640 KiB (20 instances),5 MiB (20 instances),50 MiB (2 instances),2,/dev/sda 2.73 TiB SSD,2278.34,462.45,1815.89,20.3,23.0,0.09,0.0,0.0,Asia/Tehran,eno1,Professional,40,520000,0,65,1405/04/02 19:28
11,AF-KVM03,af-kvm03.mobinhost.net,185.3.124.20,kvm,3,1,1,Locked By Admin,,,,AlmaLinux release 9.6 (Sage Margay),3.2.8,5,31/12/2026 GMT,35.8,45,0,251.25,467.0,56.11,488.28,185.9,2263.0,3085.0,1488.0,775.0,34.2,205,90,121872," 19:24:37 up 1 day, 15:30,  0 users,  load average: 21.91, 21.39, 20.96",Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,intel,1199.0,599.0,50.0,251.25,195.33,55.91,77.75,256.0,0.0,256.0,13.78,6.77,0.66,78.79,0.0,101057.2,50305.98,50751.21,0.0,/afkvm03zfs,file,raw,2262.97,774.66,1488.31,34.23,56,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,56,14,2,2,0.0,3300.0,VT-x,896 KiB (28 instances),7 MiB (28 instances),70 MiB (2 instances),2,/dev/sda 2.73 TiB SSD,2262.97,774.66,1488.31,34.23,60.0,0.08,0.0,0.0,Asia/Tehran,eno49,Professional,45,500000,0,70,1405/04/02 19:28
12,HI-KVM08,hi-kvm08.mobinhost.net,45.129.38.185,kvm,2,1,1,Locked By Admin,,,,AlmaLinux release 9.6 (Sage Margay),3.2.8,4,31/12/2026 GMT,99.13,93,0,251.25,506.0,8.68,0.0,201.4,1364.0,4031.0,505.0,859.0,63.0,243,186,47744," 19:24:45 up 64 days,  5:28,  0 users,  load average: 57.77, 54.95, 54.84",Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,intel,1199.0,1021.0,85.0,251.25,242.2,9.05,96.4,256.0,73.85,182.15,31.49,21.07,0.48,46.96,0.0,19286.09,9795.5,9490.6,0.0,/hikvm08zfs,file,raw,1363.9,859.0,504.9,62.98,56,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,56,14,2,2,0.0,3300.0,VT-x,896 KiB (28 instances),7 MiB (28 instances),70 MiB (2 instances),2,/dev/sda 1.82 TiB SSD,1363.9,859.0,504.9,62.98,73.0,0.09,0.0,0.0,Asia/Tehran,eno49,Professional,93,0,0,65,1405/04/02 19:28
13,AF-KVM04,af-kvm04.mobinhost.net,185.3.124.21,kvm,3,1,1,Locked By Admin,,,,AlmaLinux release 9.6 (Sage Margay),3.2.8,5,31/12/2026 GMT,37.46,50,0,251.25,388.0,5.66,488.28,154.4,1441.0,2669.0,723.0,718.0,49.8,179,102,77540," 19:24:55 up 1 day, 15:31,  0 users,  load average: 18.23, 19.42, 19.86",Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,intel,2397.0,1084.0,45.0,251.25,241.16,10.09,95.99,200.0,0.18,199.82,26.29,11.75,1.04,60.92,0.0,0.0,0.0,0.0,0.0,/afkvm04zfs,file,raw,1441.4,718.79,722.61,49.87,56,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,56,14,2,2,0.0,3300.0,VT-x,896 KiB (28 instances),7 MiB (28 instances),70 MiB (2 instances),2,/dev/sda 1.82 TiB SSD,1441.4,718.79,722.61,49.87,49.0,0.09,0.0,0.0,Asia/Tehran,,Professional,50,500000,0,70,1405/04/02 19:28
14,AF-KVM05,af-kvm05.mobinhost.net,185.3.124.22,kvm,3,1,1,Locked By Admin,,,,AlmaLinux release 9.6 (Sage Margay),3.2.8,4,31/12/2026 GMT,27.02,33,0,188.25,240.0,5.14,390.62,127.5,1441.0,1650.0,840.0,601.0,41.7,118,71,28056," 19:25:03 up 1 day, 15:31,  0 users,  load average: 15.06, 15.34, 15.23",Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,intel,2397.0,1256.0,52.0,188.25,180.04,8.21,95.64,200.0,11.28,188.72,18.55,7.13,0.76,73.56,0.0,0.0,0.0,0.0,0.0,/afkvm05zfs,file,raw,1441.37,601.28,840.09,41.72,56,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,56,14,2,2,0.0,3300.0,VT-x,896 KiB (28 instances),7 MiB (28 instances),70 MiB (2 instances),2,/dev/sda 1.82 TiB SSD,1441.37,601.28,840.09,41.72,43.0,0.09,0.0,0.0,Asia/Tehran,,Professional,33,400000,0,50,1405/04/02 19:28
15,RS-KVM04,rs-kvm04.mobinhost.net,5.160.243.181,kvm,1,1,0,,,,,AlmaLinux release 9.6 (Sage Margay),3.2.8,5,31/12/2026 GMT,42.79,49,0,251.25,312.0,7.2,353.66,124.2,1387.0,2384.0,816.0,571.0,41.2,152,98,66200," 19:25:10 up 2 days, 46 min,  1 user,  load average: 23.16, 22.60, 22.81",Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,intel,1199.0,700.0,58.0,251.25,235.86,15.38,93.88,256.0,4.93,251.07,23.68,18.12,0.88,57.32,0.0,57888.71,29790.04,28098.67,0.0,/rskvm04zfs,file,raw,1387.03,570.64,816.39,41.14,56,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,56,14,2,2,0.0,3300.0,VT-x,896 KiB (28 instances),7 MiB (28 instances),70 MiB (2 instances),2,/dev/sda 1.82 TiB SSD,1387.03,570.64,816.39,41.14,51.0,0.09,0.0,0.0,Asia/Tehran,eno49,Professional,49,362144,0,,1405/04/02 19:28
17,HI-KVM09,hi-kvm09.mobinhost.net,45.129.38.186,kvm,2,1,1,Locked By Admin,,,,AlmaLinux release 9.6 (Sage Margay),3.2.8,5,31/12/2026 GMT,41.43,56,0,251.25,353.0,16.37,500.0,140.5,1441.0,2905.0,547.0,894.0,62.0,161,110,33876," 19:25:19 up 83 days, 21:14,  0 users,  load average: 28.19, 26.44, 25.54",Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,intel,1199.0,605.0,50.0,251.25,231.65,19.6,92.2,192.0,82.39,109.61,23.62,14.76,1.1,60.51,0.0,11713.55,5792.93,5920.62,0.0,/hikvm09zfs,file,raw,1441.38,894.05,547.34,62.03,56,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,56,14,2,2,0.0,3300.0,VT-x,896 KiB (28 instances),7 MiB (28 instances),70 MiB (2 instances),2,/dev/sda 1.82 TiB SSD,1441.38,894.05,547.34,62.03,58.0,0.09,0.0,0.0,Asia/Tehran,eno50,Professional,56,512000,0,65,1405/04/02 19:28
18,RS-KVM05,rs-kvm05.mobinhost.net,5.160.243.182,kvm,1,1,1,Locked By Admin,,,,AlmaLinux release 9.6 (Sage Margay),3.2.8,5,31/12/2026 GMT,24.41,28,0,251.25,171.0,16.12,292.97,68.1,2278.0,1406.0,1781.0,497.0,21.8,79,56,34972," 19:25:28 up 142 days,  5:33,  1 user,  load average: 13.05, 12.83, 13.19",Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,intel,1199.0,531.0,44.0,251.25,229.7,21.54,91.43,256.0,26.85,229.15,11.24,8.13,0.39,80.24,0.0,0.0,0.0,0.0,0.0,/rskvm05zfs,file,raw,2278.5,497.36,1781.13,21.83,56,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,56,14,2,2,0.0,3300.0,VT-x,896 KiB (28 instances),7 MiB (28 instances),70 MiB (2 instances),2,/dev/sda 2.73 TiB SSD,2278.5,497.36,1781.13,21.83,37.0,0.09,0.0,0.0,Asia/Tehran,,Professional,28,300000,0,,1405/04/02 19:28
19,RS-KVM06,rs-kvm06.mobinhost.net,5.160.243.183,kvm,1,1,1,Locked By Admin,IR,,,AlmaLinux release 9.6 (Sage Margay),3.2.8,5,31/12/2026 GMT,38.75,49,0,188.25,326.0,8.7,500.0,173.2,2279.0,2611.0,1404.0,875.0,38.4,162,100,80136," 19:25:36 up 260 days, 18:54,  0 users,  load average: 19.30, 18.32, 18.85",Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,intel,1199.0,472.0,39.0,188.25,175.57,12.68,93.27,256.0,117.67,138.33,15.15,8.99,0.76,75.1,0.0,0.0,0.0,0.0,0.0,/rskvm06zfs,file,raw,2278.53,874.06,1404.47,38.36,56,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,56,14,2,2,0.0,3300.0,VT-x,896 KiB (28 instances),7 MiB (28 instances),70 MiB (2 instances),2,/dev/sda 2.73 TiB SSD | /dev/nbd2 60 GiB SSD,2278.53,874.06,1404.47,38.36,46.0,0.09,0.0,0.0,Asia/Tehran,,Professional,49,512000,0,,1405/04/02 19:28
21,HI-KVM10,hi-kvm10.mobinhost.net,45.129.38.187,kvm,2,1,1,Locked By Admin,,,,AlmaLinux release 9.6 (Sage Margay),3.2.8,5,31/12/2026 GMT,45.17,58,0,219.84,337.0,7.91,375.0,153.3,2279.0,2983.0,1447.0,832.0,36.5,161,116,19764," 19:25:44 up 22 days,  2:31,  0 users,  load average: 18.36, 20.17, 22.54",Intel(R) Xeon(R) CPU E5-2696 v2 @ 2.50GHz,intel,2394.0,1155.0,48.0,219.84,206.28,13.56,93.83,256.0,66.38,189.62,18.13,12.71,1.77,67.39,0.0,6930.99,3488.61,3442.39,0.0,/hikvm10zfs,file,raw,2278.75,832.67,1446.08,36.54,48,Intel(R) Xeon(R) CPU E5-2696 v2 @ 2.50GHz,GenuineIntel,48,12,2,2,0.0,3500.0,VT-x,768 KiB (24 instances),6 MiB (24 instances),60 MiB (2 instances),2,/dev/sda 2.73 TiB SSD,2278.75,832.67,1446.08,36.54,47.0,0.09,0.0,0.0,Asia/Tehran,eno1,Professional,58,384000,0,65,1405/04/02 19:28
